timestamp,username,source_ip,status
2026-08-28 08:12:14,amanda,192.168.1.10,Success
2026-08-28 08:15:22,brian,192.168.1.15,Success
2026-08-28 09:03:11,amanda,185.220.101.45,Failed
2026-08-28 09:03:18,amanda,185.220.101.45,Failed
2026-08-28 09:03:25,amanda,185.220.101.45,Failed
2026-08-28 09:03:32,amanda,185.220.101.45,Failed
2026-08-28 09:03:41,amanda,185.220.101.45,Success
2026-08-28 09:15:02,brian,192.168.1.15,Success
2026-08-28 10:21:44,chipo,192.168.1.20,Success
2026-08-28 11:42:19,amanda,192.168.1.10,Success
2026-08-28 14:17:03,chipo,185.220.101.45,Failed
2026-08-28 14:17:10,chipo,185.220.101.45,Failed
2026-08-28 14:17:18,chipo,185.220.101.45,Failed
2026-08-28 14:17:26,chipo,185.220.101.45,Success
2026-08-28 16:03:55,brian,192.168.1.15,Success
2026-08-28 18:44:12,david,192.168.1.30,Success
